#Symbol,Date,Open,High,Low,Close,Volume,Adj Close
msft,2013-08-08,32.24,33.07,32.05,32.89,59034400,32.89
msft,2013-08-07,31.54,32.10,31.25,32.06,38044700,32.06
msft,2013-08-06,31.55,31.67,31.38,31.58,36331500,31.58
msft,2013-08-05,31.90,32.00,31.64,31.70,30984000,31.70
msft,2013-08-02,31.69,31.90,31.57,31.89,29121500,31.89
msft,2013-08-01,32.06,32.09,31.60,31.67,42328400,31.67
msft,2013-07-31,31.97,32.05,31.71,31.84,43898400,31.84
msft,2013-07-30,31.78,32.12,31.55,31.85,45799500,31.85
msft,2013-07-29,31.47,31.60,31.40,31.54,28870700,31.54
msft,2013-07-26,31.26,31.62,31.21,31.62,38633600,31.62
msft,2013-07-25,31.62,31.65,31.25,31.39,63213000,31.39
msft,2013-07-24,32.04,32.19,31.89,31.96,52803100,31.96
msft,2013-07-23,31.91,32.04,31.71,31.82,65810400,31.82
msft,2013-07-22,31.70,32.01,31.60,32.01,79040700,32.01
msft,2013-07-19,32.40,32.67,31.02,31.40,248428500,31.40
msft,2013-07-18,35.72,35.89,35.22,35.44,49547100,35.44
msft,2013-07-17,36.34,36.39,35.49,35.74,37285100,35.74
msft,2013-07-16,36.01,36.43,35.96,36.27,36378500,36.27
msft,2013-07-15,35.66,36.22,35.58,36.17,34142600,36.17
msft,2013-07-12,35.58,35.73,35.28,35.67,35501200,35.67
msft,2013-07-11,35.00,35.77,34.90,35.69,53638300,35.69
msft,2013-07-10,34.34,34.81,34.32,34.70,29658800,34.70
msft,2013-07-09,34.58,34.60,34.14,34.35,25318500,34.35
msft,2013-07-08,34.35,34.59,33.98,34.33,32396900,34.33
msft,2013-07-05,34.09,34.24,33.58,34.21,26085900,34.21
msft,2013-07-03,33.66,34.37,33.60,34.01,15994400,34.01
msft,2013-07-02,34.41,34.44,33.63,33.94,37630000,33.94
msft,2013-07-01,34.75,34.99,34.33,34.36,31055400,34.36
msft,2013-06-28,34.38,34.79,34.34,34.54,65545500,34.54
msft,2013-06-27,34.52,34.78,34.50,34.62,28993100,34.62
msft,2013-06-26,34.12,34.48,33.89,34.35,48665900,34.35
msft,2013-06-25,34.08,34.38,33.46,33.67,44073400,33.67
msft,2013-06-24,32.94,34.20,32.57,33.72,56109000,33.72
msft,2013-06-21,33.66,33.73,33.05,33.27,85338500,33.27
msft,2013-06-20,34.26,34.33,33.37,33.49,54493700,33.49
msft,2013-06-19,34.96,35.09,34.59,34.59,30816200,34.59
msft,2013-06-18,34.97,35.17,34.90,34.98,28616500,34.98
msft,2013-06-17,34.69,35.16,34.63,35.00,49670100,35.00
msft,2013-06-14,34.55,34.69,34.25,34.40,53192600,34.40
msft,2013-06-13,34.99,35.02,34.59,34.72,45654900,34.72
msft,2013-06-12,35.14,35.27,34.85,35.00,37372700,35.00
msft,2013-06-11,35.05,35.18,34.68,34.84,39435900,34.84
msft,2013-06-10,35.51,35.65,35.14,35.47,35994500,35.47
msft,2013-06-07,35.25,35.78,35.06,35.67,40757300,35.67
msft,2013-06-06,34.84,35.11,34.49,34.96,37618500,34.96
msft,2013-06-05,34.60,34.89,34.43,34.78,46025100,34.78
msft,2013-06-04,35.62,35.74,34.77,34.99,65529500,34.99
msft,2013-06-03,34.92,35.63,34.83,35.59,51252600,35.59
msft,2013-05-31,34.82,35.28,34.79,34.90,56165700,34.90
msft,2013-05-30,34.85,35.25,34.81,35.03,51131000,35.03
msft,2013-05-29,34.74,35.02,34.57,34.88,38412200,34.88
msft,2013-05-28,34.42,35.18,34.41,35.02,48212100,35.02
msft,2013-05-24,33.92,34.28,33.90,34.27,33174400,34.27
msft,2013-05-23,34.23,34.55,33.90,34.15,51102700,34.15
msft,2013-05-22,34.79,34.84,34.36,34.61,66047500,34.61
msft,2013-05-21,35.10,35.27,34.72,34.85,48702400,34.85
msft,2013-05-20,34.73,35.10,34.68,35.08,54020800,35.08
msft,2013-05-17,34.13,34.87,34.10,34.87,60666700,34.87
msft,2013-05-16,33.64,34.15,33.55,34.08,59382900,34.08
msft,2013-05-15,33.45,33.90,33.43,33.85,46303900,33.85
msft,2013-05-14,32.86,33.53,32.80,33.53,56870100,33.53
msft,2013-05-13,32.61,33.07,32.55,33.03,36027600,32.80
msft,2013-05-10,32.67,32.72,32.32,32.69,36394900,32.46
msft,2013-05-09,32.85,33.00,32.59,32.66,46417800,32.43
msft,2013-05-08,33.07,33.24,32.65,32.99,51595700,32.76
msft,2013-05-07,33.65,33.79,33.24,33.31,43078300,33.08
msft,2013-05-06,33.42,33.91,33.25,33.75,40978300,33.51
msft,2013-05-03,33.23,33.52,33.08,33.49,46784600,33.26
msft,2013-05-02,32.63,33.17,32.39,33.16,46059500,32.93
msft,2013-05-01,32.93,33.08,32.60,32.72,54330900,32.49
msft,2013-04-30,32.56,33.11,32.28,33.10,75165200,32.87
msft,2013-04-29,31.80,32.68,31.77,32.61,59116400,32.38
msft,2013-04-26,31.90,31.98,31.45,31.79,47799300,31.57
msft,2013-04-25,31.71,32.84,31.54,31.94,110700200,31.72
msft,2013-04-24,30.62,31.92,30.60,31.76,90946600,31.54
msft,2013-04-23,30.70,30.90,30.38,30.60,59126900,30.39
msft,2013-04-22,30.30,31.18,30.27,30.83,137904000,30.62
msft,2013-04-19,29.62,30.24,29.61,29.77,99790700,29.56
msft,2013-04-18,28.95,28.98,28.50,28.79,56906600,28.59
msft,2013-04-17,28.85,29.04,28.60,28.83,52840700,28.63
msft,2013-04-16,28.90,29.14,28.70,28.97,52797300,28.77
msft,2013-04-15,28.65,28.98,28.51,28.69,56332900,28.49
msft,2013-04-12,28.85,29.02,28.66,28.79,62886300,28.59
msft,2013-04-11,29.10,29.20,28.73,28.94,130923200,28.74
msft,2013-04-10,29.57,30.32,29.52,30.28,71116700,30.07
msft,2013-04-09,28.73,29.82,28.68,29.61,77733800,29.40
msft,2013-04-08,28.73,28.73,28.47,28.59,34759500,28.39
msft,2013-04-05,28.22,28.78,28.11,28.70,50927300,28.50
msft,2013-04-04,28.39,28.61,28.27,28.60,45263200,28.40
msft,2013-04-03,28.75,28.95,28.54,28.56,35062800,28.36
msft,2013-04-02,28.59,28.85,28.52,28.80,28456500,28.60
msft,2013-04-01,28.64,28.66,28.36,28.61,29201100,28.41
msft,2013-03-28,28.32,28.66,28.26,28.61,55453800,28.41
msft,2013-03-27,28.14,28.45,28.08,28.37,36047400,28.17
msft,2013-03-26,28.24,28.34,28.11,28.16,27824300,27.96
msft,2013-03-25,28.30,28.35,27.96,28.16,44154000,27.96
msft,2013-03-22,28.19,28.34,28.10,28.25,28720900,28.05
msft,2013-03-21,28.11,28.36,28.05,28.11,34233200,27.91
msft,2013-03-20,28.34,28.49,28.18,28.32,35447800,28.12
msft,2013-03-19,28.12,28.22,28.03,28.18,51901600,27.98
msft,2013-03-18,27.88,28.28,27.81,28.10,44809400,27.90
msft,2013-03-15,28.03,28.16,27.98,28.04,92710300,27.84
msft,2013-03-14,28.00,28.16,27.93,28.14,55914800,27.94
msft,2013-03-13,27.87,28.02,27.75,27.92,29093400,27.73
msft,2013-03-12,27.84,27.95,27.64,27.91,39255200,27.72
msft,2013-03-11,27.94,27.97,27.67,27.87,36627500,27.68
msft,2013-03-08,28.25,28.33,27.96,28.00,37667800,27.81
msft,2013-03-07,28.11,28.28,28.01,28.14,29196700,27.94
msft,2013-03-06,28.21,28.23,27.78,28.09,51448500,27.89
msft,2013-03-05,28.29,28.54,28.16,28.35,41432200,28.15
msft,2013-03-04,27.85,28.15,27.70,28.15,38157500,27.95
msft,2013-03-01,27.72,27.98,27.52,27.95,34849700,27.76
msft,2013-02-28,27.88,27.97,27.74,27.80,35840200,27.61
msft,2013-02-27,27.42,28.00,27.33,27.81,36394700,27.62
msft,2013-02-26,27.38,27.60,27.34,27.37,49923300,27.18
msft,2013-02-25,27.97,28.05,27.37,27.37,48011800,27.18
msft,2013-02-22,27.68,27.76,27.48,27.76,31425900,27.57
msft,2013-02-21,27.74,27.74,27.23,27.49,49078500,27.30
msft,2013-02-20,28.13,28.20,27.83,27.87,44110200,27.68
msft,2013-02-19,27.88,28.09,27.80,28.05,38781400,27.85
msft,2013-02-15,28.04,28.16,27.88,28.01,49650900,27.59
msft,2013-02-14,27.92,28.06,27.87,28.04,32663200,27.62
msft,2013-02-13,27.93,28.11,27.88,28.03,41715600,27.61
msft,2013-02-12,27.88,28.00,27.75,27.88,35990900,27.46
msft,2013-02-11,27.65,27.92,27.50,27.86,32247700,27.44
msft,2013-02-08,27.35,27.71,27.31,27.55,33318500,27.13
msft,2013-02-07,27.35,27.39,27.10,27.28,38028300,26.87
msft,2013-02-06,27.38,27.54,27.25,27.34,41889600,26.93
msft,2013-02-05,27.62,27.66,27.36,27.50,35410400,27.08
msft,2013-02-04,27.87,28.02,27.42,27.44,50540000,27.03
msft,2013-02-01,27.67,28.05,27.55,27.93,55565900,27.51
msft,2013-01-31,27.79,27.97,27.40,27.45,50530000,27.04
